value,value_classification,timestamp
26,Fear,2025-03-29T00:00:00Z
44,Fear,2025-03-28T00:00:00Z
40,Fear,2025-03-27T00:00:00Z
47,Neutral,2025-03-26T00:00:00Z
46,Fear,2025-03-25T00:00:00Z
45,Fear,2025-03-24T00:00:00Z
30,Fear,2025-03-23T00:00:00Z
32,Fear,2025-03-22T00:00:00Z
31,Fear,2025-03-21T00:00:00Z
49,Neutral,2025-03-20T00:00:00Z
32,Fear,2025-03-19T00:00:00Z
34,Fear,2025-03-18T00:00:00Z
32,Fear,2025-03-17T00:00:00Z
30,Fear,2025-03-16T00:00:00Z
46,Fear,2025-03-15T00:00:00Z
27,Fear,2025-03-14T00:00:00Z
45,Fear,2025-03-13T00:00:00Z
34,Fear,2025-03-12T00:00:00Z
24,Extreme Fear,2025-03-11T00:00:00Z
20,Extreme Fear,2025-03-10T00:00:00Z
27,Fear,2025-03-09T00:00:00Z
28,Fear,2025-03-08T00:00:00Z
34,Fear,2025-03-07T00:00:00Z
25,Extreme Fear,2025-03-06T00:00:00Z
20,Extreme Fear,2025-03-05T00:00:00Z
15,Extreme Fear,2025-03-04T00:00:00Z
33,Fear,2025-03-03T00:00:00Z
26,Fear,2025-03-02T00:00:00Z
20,Extreme Fear,2025-03-01T00:00:00Z
16,Extreme Fear,2025-02-28T00:00:00Z
10,Extreme Fear,2025-02-27T00:00:00Z
21,Extreme Fear,2025-02-26T00:00:00Z
25,Extreme Fear,2025-02-25T00:00:00Z
49,Neutral,2025-02-24T00:00:00Z
50,Neutral,2025-02-23T00:00:00Z
49,Neutral,2025-02-22T00:00:00Z
55,Greed,2025-02-21T00:00:00Z
49,Neutral,2025-02-20T00:00:00Z
44,Fear,2025-02-19T00:00:00Z
47,Neutral,2025-02-18T00:00:00Z
51,Neutral,2025-02-17T00:00:00Z
54,Neutral,2025-02-16T00:00:00Z
50,Neutral,2025-02-15T00:00:00Z
48,Neutral,2025-02-14T00:00:00Z
50,Neutral,2025-02-13T00:00:00Z
46,Fear,2025-02-12T00:00:00Z
47,Neutral,2025-02-11T00:00:00Z
43,Fear,2025-02-10T00:00:00Z
46,Fear,2025-02-09T00:00:00Z
44,Fear,2025-02-08T00:00:00Z
44,Fear,2025-02-07T00:00:00Z
49,Neutral,2025-02-06T00:00:00Z
54,Neutral,2025-02-05T00:00:00Z
72,Greed,2025-02-04T00:00:00Z
44,Fear,2025-02-03T00:00:00Z
60,Greed,2025-02-02T00:00:00Z
68,Greed,2025-02-01T00:00:00Z
76,Extreme Greed,2025-01-31T00:00:00Z
70,Greed,2025-01-30T00:00:00Z
72,Greed,2025-01-29T00:00:00Z
72,Greed,2025-01-28T00:00:00Z
71,Greed,2025-01-27T00:00:00Z
73,Greed,2025-01-26T00:00:00Z
75,Greed,2025-01-25T00:00:00Z
75,Greed,2025-01-24T00:00:00Z
75,Greed,2025-01-23T00:00:00Z
84,Extreme Greed,2025-01-22T00:00:00Z
76,Extreme Greed,2025-01-21T00:00:00Z
76,Extreme Greed,2025-01-20T00:00:00Z
77,Extreme Greed,2025-01-19T00:00:00Z
77,Extreme Greed,2025-01-18T00:00:00Z
75,Greed,2025-01-17T00:00:00Z
75,Greed,2025-01-16T00:00:00Z
70,Greed,2025-01-15T00:00:00Z
63,Greed,2025-01-14T00:00:00Z
61,Greed,2025-01-13T00:00:00Z
62,Greed,2025-01-12T00:00:00Z
69,Greed,2025-01-11T00:00:00Z
50,Neutral,2025-01-10T00:00:00Z
69,Greed,2025-01-09T00:00:00Z
70,Greed,2025-01-08T00:00:00Z
78,Extreme Greed,2025-01-07T00:00:00Z
76,Extreme Greed,2025-01-06T00:00:00Z
72,Greed,2025-01-05T00:00:00Z
73,Greed,2025-01-04T00:00:00Z
74,Greed,2025-01-03T00:00:00Z
70,Greed,2025-01-02T00:00:00Z
66,Greed,2025-01-01T00:00:00Z
64,Greed,2024-12-31T00:00:00Z
65,Greed,2024-12-30T00:00:00Z
73,Greed,2024-12-29T00:00:00Z
72,Greed,2024-12-28T00:00:00Z
74,Greed,2024-12-27T00:00:00Z
79,Extreme Greed,2024-12-26T00:00:00Z
73,Greed,2024-12-25T00:00:00Z
73,Greed,2024-12-24T00:00:00Z
70,Greed,2024-12-23T00:00:00Z
73,Greed,2024-12-22T00:00:00Z
73,Greed,2024-12-21T00:00:00Z
74,Greed,2024-12-20T00:00:00Z
75,Greed,2024-12-19T00:00:00Z
81,Extreme Greed,2024-12-18T00:00:00Z
87,Extreme Greed,2024-12-17T00:00:00Z
83,Extreme Greed,2024-12-16T00:00:00Z
80,Extreme Greed,2024-12-15T00:00:00Z
83,Extreme Greed,2024-12-14T00:00:00Z
76,Extreme Greed,2024-12-13T00:00:00Z
83,Extreme Greed,2024-12-12T00:00:00Z
74,Greed,2024-12-11T00:00:00Z
78,Extreme Greed,2024-12-10T00:00:00Z
78,Extreme Greed,2024-12-09T00:00:00Z
79,Extreme Greed,2024-12-08T00:00:00Z
75,Greed,2024-12-07T00:00:00Z
72,Greed,2024-12-06T00:00:00Z
84,Extreme Greed,2024-12-05T00:00:00Z
78,Extreme Greed,2024-12-04T00:00:00Z
76,Extreme Greed,2024-12-03T00:00:00Z
80,Extreme Greed,2024-12-02T00:00:00Z
81,Extreme Greed,2024-12-01T00:00:00Z
84,Extreme Greed,2024-11-30T00:00:00Z
78,Extreme Greed,2024-11-29T00:00:00Z
77,Extreme Greed,2024-11-28T00:00:00Z
75,Greed,2024-11-27T00:00:00Z
79,Extreme Greed,2024-11-26T00:00:00Z
82,Extreme Greed,2024-11-25T00:00:00Z
80,Extreme Greed,2024-11-24T00:00:00Z
93,Extreme Greed,2024-11-23T00:00:00Z
94,Extreme Greed,2024-11-22T00:00:00Z
82,Extreme Greed,2024-11-21T00:00:00Z
83,Extreme Greed,2024-11-20T00:00:00Z
90,Extreme Greed,2024-11-19T00:00:00Z
83,Extreme Greed,2024-11-18T00:00:00Z
90,Extreme Greed,2024-11-17T00:00:00Z
86,Extreme Greed,2024-11-16T00:00:00Z
80,Extreme Greed,2024-11-15T00:00:00Z
88,Extreme Greed,2024-11-14T00:00:00Z
